"","low","high","tree_sizes"
"1",76.5319272903814,115.238074662968,10
"2",80.9162537991956,113.168526375137,15
"3",83.682939901329,111.786262974172,20
"4",85.6322669544342,110.767287884055,25
"5",87.1002049727157,109.970564357113,30
"6",88.2563189772272,109.322597420799,35
"7",89.1967976769842,108.780495935124,40
"8",89.9808435359525,108.317181573443,45
"9",90.6471662852089,107.914537391905,50
"10",91.2222879868393,107.559887577526,55
"11",91.7250708422999,107.244041963789,60
"12",92.1693446053781,106.960141323449,65
"13",92.5655100418881,106.702941086794,70
"14",92.9215590927812,106.468348600097,75
"15",93.2437470558661,106.25311380605,80
"16",93.5370489161413,106.054616379952,85
"17",93.8054772391333,105.870715522362,90
"18",94.052308671317,105.699641620805,95
"19",94.2802485577517,105.539916590725,100
"20",94.4915527110277,105.390294294662,105
"21",94.6881189148842,105.249715293649,110
"22",94.8715566661284,105.117272008573,115
"23",95.0432410159158,104.992181561909,120
"24",95.2043546226328,104.873764366826,125
"25",95.3559209485936,104.761427072984,130
"26",95.4988307223612,104.654648853966,135
"27",95.6338632229155,104.55297028567,140
"28",95.7617035412944,104.455984253699,145
"29",95.8829566877145,104.363328464355,150
"30",95.9981592030773,104.274679233899,155
"31",96.1077887799637,104.189746304829,160
"32",96.2122722838725,104.108268493425,165
"33",96.3119924795797,104.0300100148,170
"34",96.4072937023988,103.954757363689,175
"35",96.4984866643318,103.882316653884,180
"36",96.5858525467123,103.812511338322,185
"37",96.669646501112,103.745180246841,190
"38",96.7501006569268,103.680175890327,195
"39",96.8274267156589,103.617362989382,200
"40",96.9018181973068,103.556617193034,205
"41",96.9734523926241,103.497823959046,210
"42",97.0424920656504,103.440877572138,215
"43",97.1090869433636,103.38568028044,220
"44",97.1733750231743,103.332141533601,225
"45",97.2354837239815,103.280177308676,230
"46",97.2955309024103,103.229709512014,235
"47",97.3536257524824,103.180665447196,240
"48",97.4098696041752,103.13297734052,245
"49",97.464356634014,103.086581916805,250
"50",97.5171744989085,103.041420019286,255
"51",97.5684049028289,102.997436268274,260
"52",97.6181241045625,102.954578753966,265
"53",97.6664033736448,102.912798759421,270
"54",97.7133094005933,102.872050510261,275
"55",97.7589046667542,102.832290948072,280
"56",97.803247778369,102.7934795249,285
"57",97.8463937688768,102.755578016548,290
"58",97.8883943729541,102.71855035266,295
"59",97.9292982753593,102.682362461835,300
"60",97.9691513372695,102.646982130221,305
"61",98.0079968024723,102.612378872206,310
"62",98.045875485496,102.578523812016,315
"63",98.0828259435142,102.545389575125,320
"64",98.1188846336511,102.512950188539,325
"65",98.1540860571284,102.481180989104,330
"66",98.188462891532,102.45005853908,335
"67",98.2220461123385,102.419560548305,340
"68",98.2548651047124,102.389665802361,345
"69",98.2869477664837,102.360354096179,350
"70",98.3183206031114,102.33160617262,355
"71",98.3490088153614,102.303403665584,360
"72",98.3790363803466,102.275729047264,365
"73",98.4084261265169,102.248565579183,370
"74",98.4371998031215,102.221897266703,375
"75",98.4653781446206,102.195708816714,380
"76",98.4929809304729,102.169985598248,385
"77",98.520027040685,102.144713605768,390
"78",98.5465345074735,102.119879424938,395
"79",98.5725205633569,102.095470200661,400
"80",98.5980016859628,102.071473607215,405
"81",98.6229936398143,102.04787782033,410
"82",98.6475115153318,102.024671491052,415
"83",98.6715697652654,102.00184372126,420
"84",98.6951822387573,101.979384040716,425
"85",98.7183622132127,101.957282385535,430
"86",98.7411224241434,101.935529077973,435
"87",98.7634750931351,101.914114807431,440
"88",98.7854319540758,101.893030612604,445
"89",98.8070042777714,101.872267864677,450
"90",98.8282028950637,101.851818251506,455
"91",98.8490382185581,101.831673762718,460
"92",98.8695202630574,101.811826675654,465
"93",98.8896586647927,101.792269542123,470
"94",98.909462699533,101.772995175881,475
"95",98.9289412996511,101.75399664082,480
"96",98.9481030702141,101.735267239791,485
"97",98.9669563041658,101.716800504046,490
"98",98.985508996659,101.698590183242,495
"99",99.0037688585946,101.680630235974,500
"100",99.0217433294176,101.66291482082,505
"101",99.0394395892187,101.645438287834,510
"102",99.0568645701847,101.628195170499,515
"103",99.0740249674391,101.611180178075,520
"104",99.0909272493106,101.59438818835,525
"105",99.1075776670649,101.577814240744,530
"106",99.1239822641326,101.561453529758,535
"107",99.1401468848633,101.545301398756,540
"108",99.1560771828351,101.529353334038,545
"109",99.171778628745,101.513604959205,550
"110",99.1872565179056,101.4980520298,555
"111",99.2025159773702,101.482690428193,560
"112",99.2175619727099,101.467516158719,565
"113",99.2323993144588,101.452525343035,570
"114",99.2470326642507,101.437714215693,575
"115",99.2614665406614,101.42307911992,580
"116",99.2757053247738,101.40861650359,585
"117",99.2897532654829,101.394322915374,590
"118",99.3036144845518,101.380195001065,595
"119",99.3172929814356,101.366229500067,600
